Function,Description,Simplified Description,Technologies,Purpose
Antivirus,Antivirus software primarily used to protect computers from viruses and remove any viruses that are found on the device.,Antivirus products detect bad files or processes on endpoints. It detects these bad things either by comparing the file being tested to known bad files or how the process is behaving.,Cisco FireAMP Clam Antivirus CrowdStrike Falcon Prevent CybeReason Deep Prevent Cylance Protect ESET Endpoint Protection FireEye HX Kaspersky Endpoint Security McAfee ATD McAfee ePolicy Orchestrator Microsoft SCEP Microsoft Windows Defender Palo Alto Cortex XDR SentinelOne Endpoint Protection Sophos Antivirus Symantec Endpoint Protection Trend Micro Deep Security Trend Micro OfficeScan VMWare Carbon Black Cloud Endpoint Standard WatchGuard Fireware,"Missing malware detections on all endpoints. Massive loss of visibility into a ciritcal log source for security monitoring. If not logging, then all malware detections are not visilible from the SIEM."
Business Application,Business  Applications include any unique application/software that a corporation may utilize in their environment. Common business applications include Cerner/Epic for companies in the healthcare industry or SWIFT in the financial industry.,"If this app is compromised due to attacker or otherwise the business can no longer function. It's like having the EMR (Electronic medical records) for Hospital General go offline, or the Booking/Scheduling app for flight data for an airline going offline. It will be unique to the business. Best to ask to contact the BCDR (Business Continuity / Disaster Recovery) Team to get the list. They should have the criticality of all apps logged.",Cerner EMR Epic EMR Fiserv Banking App Github Enterprise Google G-Suite IBM CICS IBM i-Series IBM RACF IBM Websphere Lawson EMR Microsoft Git Microsoft Office365 Oracle PeopleSoft HCM Oracle Web Logic SalesForce SalesForce CRM ServiceNow ITSM SWIFT Banking Application Workday Workday,Companies typically us business applications for critical purposes for regular business. If a business application like this is compromised it can lead to down time and severe financial losses.
CASB,A cloud access security broker (CASB) is an on-premises or cloud-based security policy enforcement point that is placed between cloud service consumers and cloud service providers to combine and interject enterprise security policies as cloud-based resources are accessed.,"Acts as a gatekeeper, allowing the organization to extend the reach of their security policies between from thier own infrastructure to the cloud assets.  Gives companies more control over cloud asset security. Think of almost an IDS/IPS specific to Cloud Security.",Amazon Guard Duty Check Point Dome9 Cisco Cloudlock Forcepoint CASB McAfee SkyHigh Microsoft Cloud Application Security Netskope Netskope RedLock Cloud Threat Defense SecurEnvoy SecureIdentity Suite Symantec CloudSOC,"Currently no standard rules in the library, but customers could have adhoc use cases around number of connection attempts, access monitoring, or other thresholds that would warrant investigation. The solution will trigger alerts when potentially insecure configurations, data movement, malware, or access being granted."
DAM,"Database activity monitoring (DAM) refers to a suite of tools that can be used to support the ability to identify and report on fraudulent, illegal or other undesirable behavior, with minimal impact on user operations and productivity. This also encompasses more comprehensive set of capabilities, such as discovery and classification, vulnerability management, application-level analysis, intrusion prevention, support for unstructured data security, identity and access management integration, and risk management support.",A Database activity monitoring (DAM) tool provides continuous and realtime visbility into unwanted/malcious behavior being preformed on the database (See Database below for definition) as well as montioring around users or applications accessing the database. IDS/IPS specific to databases.,IBM Guardium Imperva SecureSphere Trustwave DbProtect,"Suspicious Data Access, Data Fraud, Database Attacks (i.e. SQL Injection), Policy Violations"
Database,"A database is a collection of information that is organized so that it can be easily accessed, managed and updated. This can often include critical data for organizations, including HIPAA and PCI information.","A database is identical to excel in that it will store rows and columns of user information so that it can be read and modified through database software; however, it is on a much larger scale. Often stores important data for the business to function.",Amazon Athena Elastic Logstash Greenplum Database IBM DB2 Microsoft SQL Server Oracle MySQL Oracle Oracle Database PostgreSQL PostgreSQL SAP Sybase ASE,"Databases allow us to see the access to, removal/exfiltration, and deletion of sensitive or critical data. Known malicious queries that are suspicious."
DDoS Protection,"DDOS protection devices provide automated DDoS defense and protection from fast moving, high volume, encrypted or very short duration threats.  They protect against distributed denial of service attacks by identifying potential threats and behavior in real-time and challenging new connections to ensure their safety.","Just like a highway you can only fit so much traffic, and just like highways computer systems have fintite resources (Lanes/Bandwidth). When that limit is created computer systems sease to serve legitmate requests, which leads to outages. DDoS Protection detects and potentially stops these types of attacks. an dIDS/IPS type od device specifically tailored to DDoS type of detections.",Akamai Kona Site Defender Amazon Shield F5 Networks AFM Imperva Incapsula NETSCOUT Arbor RadWare DefensePro,Instances of DDoS type of activity.
Deception Technology,"Deception Technology such as a honeypot is a network-attached system set up as a decoy to lure cyberattackers and to detect, deflect or study hacking attempts in order to gain unauthorized access to information systems. The function of a honeypot is to represent itself on the internet as a potential target for attackers -- usually a server or other high-value target -- and to gather information and notify defenders of any attempts to access the honeypot by unauthorized users.","Setting up a trap to lure attackers. A way to examine threats to the business by letting attackers do their thing to a fake system.  Review the TTPs (Tools, Tactics, and Procedures) attackers use to enhance security posture where needed.",Cisco Threat Grid CrowdStrike Falcon X Fortinet FortiSandbox Thinkst Canary,"Notices of intrusion (Honey Pot Hit). Does not mean a compromise, means they tricked an attacker, and now can gather TTPs used by the attacker to better secure themselves."
DHCP,"Dynamic Host Configuration Protocol (DHCP) is a protocol for assigning dynamic IP addresses to devices on a network. With dynamic addressing, a device can have a different IP address every time it connects to the network.",DHCP is what automatically gives machines a new IP address when they connect to a network. DHCP becomes especially useful for large networks since it eliminates the need for a network admin having to manually assign IP addresses to all network devices.  It's like the post office giving you an address instead of you making up your own and expecting the world to know how to reach you. DHCP is required in every modern company.,BlueCat Networks Adonis Cisco Meraki Infoblox DDI ISC BIND Microsoft DHCP,"This allows us to see who's assigning IP addresses and what machines are being assigned those IPs. It can provide visibility into various DHCP attack vectors such as setting up rogue DHCP servers, man-in-the-middle attacks, DHCP spoofing, and DHCP starvation attacks."
DLP,"Data loss prevention (DLP) is a set of tools and processes used to ensure that sensitive data is not lost, misused, or accessed by unauthorized users. DLP software classifies regulated, confidential and business critical data and identifies violations of policies defined by organizations or within a predefined policy pack, typically driven by regulatory compliance such as HIPAA or PCI.","DLP is a tool that protects data that we deem sensitive or critical to an organization from being lost or accessed by users who aren't authorized. These tools ultimately protect against insider threats and data leakage. If an organization wants to be aware of data leaving their company, DLP will catch/block this activity.",Digital Guardian Digital Guardian Fidelis XPS Forcepoint DLP IBM Guardium ObserveIT ObserveIT SecurEnvoy SecureIdentity Suite Spirion DLP Enterprise Symantec DLP Tanium Reveal Verdasys Digital Guardian WatchGuard Fireware,"Insider Threat/Exfiltration, Data LossLack of visibility into unauthorized data access or data exfiltration through emails attached files, web posts (sending data), and external devices usage such as saving data to a USB"
DNS,"A DNS server is a type of name server that manages, maintains and processes Internet domain names and their associated records. A DNS server is the primary component that implements the DNS (Domain Name System) protocol and provisions domain name resolution services to Web hosts and clients on an IP-based network.","DNS is used to to associate the domain name to an IP addresses that are actually used to route traffic to resources with the domains that we associate them with (among other information). Our browsers and other tools use DNS to determine where to send requests and data. People remember names over numbers, so DNS translates google.com (Human Friendly) into 142.250.64.174 (Computer Friendly).",Amazon Route 53 BlueCat Networks Adonis Cisco Umbrella F5 Networks BIG-IP DNS Infoblox DDI ISC BIND Microsoft DNS OpenDNS OpenDNS Zscaler Internet Access,"Suspicious DNS activity often indicating exfiltration or beaconing.  DNS traffic is often allowed outbound with little limitation or monitoring, so attackers use this for Beacons/Exfil."
Email Security,"Email security devices provide multiple layers of security to stop malware and non-malware threats, such as email fraud and phishing. It can control all aspects of inbound and outbound email to detect and block threats, and prevent confidential information from getting into the wrong hands.","Email security describes different techniques for keeping sensitive information in email communication and accounts secure against unauthorized access, loss or compromise. Email is often used to spread malware, spam and phishing attacks. Attackers use deceptive messages to entice recipients to part with sensitive information, open attachments or click on hyperlinks that install malware on the victim’s device. Email is also a common entry point for attackers looking to gain a foothold in an enterprise network and obtain valuable company data.",Barracuda Email Security Gateway Cisco IronPort Cofense PhishMe Cofense Triage Cofense Vision FireEye EX Forcepoint Email Security GoPhish GoPhish Microsoft O365 Advanced Threat Protection Microsoft Office365 Mimecast Email Security ProofPoint Email Protection ProofPoint TAP Sophos Email Security,"Malware, Spam, Phishing attacks"
Email Server,"A mail server is a computer system that sends and receives email. Typically, this provides logs around emails being sent, received and attachment information.",The device that sends and receives emails. The postoffice of the internet.,Microsoft Exchange Postfix Mail Transfer Agent,"Access Auditing, Authentication Attacks, Spam, Phishing Attacks, Malicious emails."
Endpoint Detection,"Endpoint detection and response solutions collect, record, and store large volumes of data from endpoint activities to provide security professionals with the comprehensive visibility they need to detect, investigate, and mitigate advanced cyber threats.","Endpoint detection and response (EDR) is a tool/technology used for protecting endpoints (Workstations and Servers) from potential threats, such as process creation, drivers loading, registry modifications, disk access, memory access or network connections. The EDR console can show you specific details about an attack: where it started, what kind of attack it is, where it went, how it is behaving and when it began. Very in-depth visibility into what's happening on the endpoint.",*nix *nix *nix auditd *nix osquery Cisco FireAMP CrowdStrike Falcon Insight CybeReason Deep Detect and Respond CybeReason Deep Prevent Cylance Optics Cylance Protect Digital Guardian Digital Guardian Elastic Endgame LogRhythm Process Monitor McAfee ePolicy Orchestrator Microsoft Defender ATP Microsoft PowerShell Microsoft Windows Palo Alto Cortex XDR RSA eCat SentinelOne Endpoint Protection Sophos Intercept X Symantec Critical System Protection Tanium Protect Tanium Threat Response Trend Micro Deep Security TrendMicro Apex One VMWare Carbon Black Cloud Enterprise EDR VMWare Carbon Black EDR,"Endpoints are easy targets for threat actors since humans are often the weak point of security. Here are a few types of attacks: phishing, malvertising, ransomware, drive-by downloads, unpatched vulnerabilities, improper process usage (Excel/word launching PowerShell), which could indicate a potential phishing attack using a macro enabled office file to infect the system, Very common tactic. This is just an example.  Endpoints are used to establish persistence (access to a network that remains undetected for an extended period), EDR's detect this type of activity."
File Transfer/Storage,A file server is a server responsible for the central storage and management of data files so that other computers on the same network can access the files. A file server allows users to share information over a network without having to physically transfer files.,Storage for files. Like SharePoint. Share drives for users to share files.,Box Cloud Storage Cerberus FTP Server Citrix ShareFile CrushFTP CrushFTP Google Cloud Platform Storage Google G-Suite Ipswitch WinSock FTP Microsoft Office365 Microsoft Sharepoint ProFTPD ProFTPD,Anonymous User SharePoint AccessSharePoint File Shared Outside Organization
FIM,File integrity monitoring refers to a device that ensures that files have not been damaged nor manipulated over a certain time period. File integrity monitoring tools are generally utilities for internal processes that check current file integrity against a predetermined baseline.,Tool designed to monitor changes in files. This will help identify sensitive system files that should not change and this tool will allow you to see those changes. Focused on Integrity opposed to confidentially or availability when it comes to security.,Cylance Protect LogRhythm LogRhythm Microsoft Windows Tanium Integrity Monitoring Tripwire Enterprise Varonis Datadvantage VMWare Carbon Black App Control,Purposeful or accidental changing of critical files.
Firewall,"A firewall is a network security device that monitors traffic to or from your network. It allows or blocks traffic based on a defined set of security rules. An application-aware firewall understands not only ports, but what specific applications listen to specific ports.",This tool is designed to control what network traffic is allowed and not allowed to pass through based on a set of rules.  Traffic cop of traffic. If the traffic doesn't look right based on it's rules it's dropped.,Barracuda Firewall Check Point Firewall Cisco ASA Cisco Meraki Cisco PIX F5 Networks AFM Forcepoint NGFW Fortinet FortiGate Juniper SRX NetScreen Firewall Palo Alto Next-Gen Firewall SonicWALL Firewall Sophos UTM Sophos XG Firewall Symantec Endpoint Protection Zscaler Internet Access,"Unauthorized traffic from one point to another. Port scanning, improper protocol usage (hidden file transfers), File transfer from critical hosts, Known bad port (service) usage, Traffic to threat hosts,"
Flow Data,"Flow data is part of a network security system that monitors and controls all your incoming and outgoing network traffic.  This includes information such as protocol awareness, number of packets sent and size of the data transmitted. Although similar, information provided in these logs are typically more comprehensive and complete than the firewall log source.","Network traffic can be captured using firewalls, which logs from the viewpoint and limits of the device. Flow data is looking at the raw network data that is passing over the wire. More in-depth information on the network traffic.",Amazon AWS VPC Flow Data Cisco Netflow LogRhythm LogRhythm Microsoft Azure Riverbed SteelCentral SecurityOnion Bro,"Added visibility similar to firewalls, but often has the ability to see protocol mismatches (SSH/FTP traffic encapsulated into HTTP traffic ""Masking data""), Packet size (Potential exfiltration or suspicious packet sizes for the protocol) and more detail on the traffic."
Forward Proxy,A forward proxy is used to forward outgoing requests from a private network or intranet to the Internet. The main goal of the forward proxy is to provide a level of security and also to reduce network traffic.,"A proxy is a middle man between the user and the destination website.A forward proxy helps us communicate with the internet securely, this is only for internal to external traffic. For example when someone inside the network is browsing the internet all the traffic is going through the forward proxy. This is to make sure users don't go to malicious sites or sites that a company does not want users to go to. A forward proxy is typically used in alongside a firewall to enhance an internal network's security by controlling traffic originating from clients in the internal network that are directed at hosts on the Internet. Thus, from a security standpoint, a forward proxy is primarily aimed at enforcing security on client computers in your internal network. If the site is bad proxies can block and report this. When the customer asks for Proxy Content it is the forward proxy. We currently don't have content for reverse Proxy (Read Reverse Proxy below to understand the difference)",Barracuda Web Security Gateway Check Point URL Filtering Cisco Cloud Web Security Cisco Meraki Cisco ScanSafe Cisco Web Security Appliance Forcepoint URL Filtering Fortinet FortiGate Juniper SRX McAfee Web Gateway Palo Alto URL Filtering SonicWALL Web Proxy Forwarding Squid Proxy Symantec BlueCoat ProxySG Symantec Gateway Security WatchGuard Fireware Websense Content Gateway Zscaler Internet Access,"Policy violations and outbound connections to malicious websites (categories/domains/file types), contacting known threat hosts/domains, Executable files downloaded from known suspicious sites, Domain generation, POST exfiltration to threat hosts,"
HIDS/HIPS,A host-based intrusion detection system (HIDS) is an intrusion detection system that is capable of monitoring and analyzing the internals of a computing system as well as the network packets on its network interfaces. A host-based intrusion protection system (HIPS) solutions protect the computer against known and unknown malicious attacks.,"Tool that detects and prevents potentially malicious internal or external attacks based on signatures or anomalous activity on a computer. IDS/IPS are traditional network based, HIDS/HIPS is """"Host"""" based.IDS/IPS are not placed between every host, so to have Intrusion detection and protection on every host you can deploy HIDS/HIPS to have the capability on every host. Think AV, but over the network and being detected before a file/program lands on a system.",McAfee ePolicy Orchestrator OSSEC OSSEC SentinelOne Endpoint Protection Symantec Endpoint Protection,"File changes, abnormal behavior from users, unauthorized access from internal or external hosts including exploitation/scanning/pivoting attempts."
IAM,Identity and access management (IAM) is a framework for business processes that facilitates the management of electronic or digital identities. The framework includes the organizational policies for managing digital identity as well as the technologies needed to support identity management.,Crown jewels of authentication. This is where all usernames/passwords/groups/access/etc. are all stored.,BeyondTrust Powerbroker CA Control Minder Centrify Centrify Cisco ACS Cisco ISE FreeRADIUS FreeRADIUS Gemalto SafeNet Google Cloud Platform Microsoft Active Directory Microsoft Azure NetIQ eDirectory Okta Identity Ping Identity PingFederate SailPoint IdentityIQ SecureAuth Identify Platform SecurEnvoy SecureIdentity Suite,"Authentication and access attacks like account/password guess, group deletes, brute force, and privileged account miss use."
IDS/IPS,"Intrusion detection is the process of monitoring the events occurring in your network and analyzing them for signs of possible incidents, violations, or imminent threats to your security policies. Intrusion prevention is the process of performing intrusion detection and then stopping the detected incidents.","IDS/IPS monitors the network for any malicious/anomalous traffic (exploits/attack attempts) and any policy violations. IDS/IPS looks at both internal and external network attacks. Internal attacks may include lateral pivoting, exploitation, scanning. External attacks may include DoS attacks and external vuln scanning or exploitation attempts which means people outside the network trying to figure out if there are any vulnerabilities to exploit. IDS (Intrusion Detection System) just alerts you on anything malicious (I see bad and I'm telling you). While an IPS (Intrusion Prevention System) will alert you and block/drop (I saw bad and I blocked it) any malicious traffic.",Amazon Guard Duty Arbor Networks Peakflow Arbor Networks Pravail Check Point SandBlast Check Point SmartDefense Cisco FireAMP Cisco FirePower Cisco Snort Cisco Stealthwatch Core Security Network Insight Damballa FailSafe Darktrace Darktrace Dell SecureWorks iSensor IPS ExtraHop Reveal(X) FireEye NX Forcepoint IDS/IPS Fortinet FortiGate Guardicore Centra IBM Network Security Protection XGS Juniper Cyphort Juniper SRX McAfee NSM NitroSecurity NitroGuard IPS Palo Alto IDS/IPS Palo Alto Wildfire Plixer Scrutinizer Snort/Suricata IDS/IPS SonicWALL IDS/IPS Symantec Gateway Security Trend Micro Tipping Point UnityOne Vectra Cognito WatchGuard Fireware Zscaler Internet Access,Unauthorized access from internal or external hosts including exploitation/scanning/pivoting attempts. IDS/IPS's have a set of known malicious signatures or behaviors that are compared to detect/block bad traffic.
